sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU0122,Bath,Towels,2025-01-02,841.22,1406.34
SKU0123,Furniture,Bookshelves,2025-03-12,568.27,921.63
SKU0124,Bath,Shower Curtains,2023-10-05,653.88,1049.42
SKU0125,Bath,Accessories,2024-03-16,1011.06,2008.16
SKU0126,Bath,Accessories,2025-03-25,230.32,329.27
SKU0127,Furniture,Tables,2025-02-17,7694.75,14309.37
SKU0128,Bedding,Sheets,2023-12-26,1409.48,2700.97
SKU0129,,Mattress Toppers,2024-06-25,1862.76,3201.97
SKU0130,Storage,Shelves,2023-12-15,2361.38,5837.52
SKU0131,Decor,Wall Art,2023-10-18,169.09,242.22
SKU0132,Bedding,Comforters,2024-01-01,120.44,188.3
SKU0133,Rugs,Runner Rugs,2025-06-16,179.65,271.82
SKU0134,Rugs,Area Rugs,2023-08-16,465.76,798.84
SKU0135,Bedding,Blankets,2025-03-24,3348.86,6377.2
SKU0136,Bath,Shower Curtains,2025-05-07,124.67,189.87
SKU0137,Bath,Accessories,2025-03-14,1533.02,2881.91
SKU0138,Bath,Robes,2024-01-14,1156.64,2127.31
SKU0139,Storage,Shelves,2023-11-09,538.8,911.41
SKU0140,Furniture,Chairs,2023-12-07,393.4,578.33
SKU0141,Rugs,Runner Rugs,2025-01-15,4615.31,10938.15
SKU0142,Decor,Mirrors,2024-07-28,999.96,1867.98
SKU0143,Kitchen,Storage Containers,2024-05-24,4972.81,11257.5
SKU0144,Storage,Baskets,2024-04-10,191.53,292.91
SKU0145,Storage,Baskets,2023-09-15,4771.86,8770.4
SKU0146,Lighting,String Lights,2023-10-18,1639.99,2757.51
SKU0147,Kitchen,Storage Containers,2024-04-27,4908.27,8934.08
SKU0148,Bedding,Comforters,2024-09-04,2082.05,4342.3
SKU0149,Bedding,Sheets,2024-04-03,341.47,499.09
SKU0150,Bath,Robes,2023-07-28,1123.24,2013.96
SKU0151,Rugs,Area Rugs,2024-04-08,2867.85,5544.78
SKU0152,Kitchen,Cookware,2024-10-10,1009.81,1933.88
SKU0153,Bath,Towels,2024-10-03,3791.34,8382.1
SKU0154,Rugs,Area Rugs,2024-04-18,4906.05,9972.56
SKU0155,Storage,Cabinets,2024-08-24,491.35,734.82
SKU0156,Storage,Boxes,2024-05-25,193.18,307.0
SKU0157,Storage,Cabinets,2023-09-09,7884.91,16926.77
SKU0158,Furniture,Tables,2024-02-21,3991.97,7466.0
SKU0159,Rugs,Area Rugs,2024-01-28,523.02,866.99
SKU0160,Kitchen,Cookware,2024-03-26,1007.84,1891.8
SKU0161,Decor,Vases,2023-08-29,4280.06,8652.83
SKU0162,Rugs,Doormats,2025-06-13,2410.52,5403.94
SKU0163,Bath,Shower Curtains,2025-04-18,1967.51,3746.42
SKU0164,Decor,Mirrors,2025-01-30,3796.8,6911.17
SKU0165,Lighting,Floor Lamps,2024-09-22,1062.26,1761.47
SKU0166,Storage,Boxes,2025-01-26,85.54,149.55
SKU0167,Bedding,Blankets,2023-11-30,154.48,255.7
SKU0168,Rugs,Runner Rugs,2023-09-06,454.51,720.9
SKU0169,Bath,Robes,2025-02-08,248.78,382.68
SKU0170,Bath,Accessories,2023-08-13,1185.25,2039.64
SKU0171,Storage,Cabinets,2025-04-01,221.61,342.08
SKU0172,Bath,Bath Mats,2025-06-27,4374.83,7899.5
SKU0173,Furniture,Bookshelves,2024-02-27,1663.61,2814.91
SKU0174,Lighting,Table Lamps,2023-10-07,329.4,550.46
SKU0175,Kitchen,Cookware,2023-10-16,2236.54,5260.39
SKU0176,Furniture,Bookshelves,2024-07-11,2788.47,6794.78
SKU0177,Lighting,String Lights,2025-01-21,109.47,176.88
SKU0178,Lighting,Ceiling Lights,2025-02-01,1871.07,3700.38
SKU0179,Bath,Bath Mats,2025-03-24,1944.34,3220.42
SKU0180,Bedding,Blankets,2023-12-27,635.45,1117.02
SKU0181,Bath,Robes,2025-03-15,1052.88,2000.05
SKU0182,Bath,Robes,2024-06-24,7641.75,14334.72
SKU0183,Bedding,Blankets,2025-06-24,7305.41,16020.65
SKU0184,Bedding,Sheets,2023-10-08,1864.08,3207.85
SKU0185,Storage,Baskets,2025-02-26,475.82,724.07
SKU0186,Rugs,Area Rugs,2025-04-11,449.27,653.35
SKU0187,Rugs,Runner Rugs,2023-09-02,6178.9,13458.49
SKU0188,Kitchen,Small Appliances,2023-09-18,425.16,699.93
SKU0189,Bath,Towels,2023-08-13,825.9,1468.36
SKU0190,Bedding,Pillows,2025-04-09,4204.01,10220.74
SKU0191,Lighting,Floor Lamps,2024-06-07,784.71,1293.88
SKU0192,Rugs,Area Rugs,2023-09-10,338.77,555.19
SKU0193,Furniture,Sofas,2024-08-12,494.97,848.77
SKU0194,Bedding,Sheets,2023-12-30,313.87,541.5
SKU0195,Bedding,Pillows,2025-02-18,2017.01,4842.62
SKU0196,Kitchen,Utensils,2024-01-13,1697.77,2791.09
SKU0197,Furniture,Tables,2025-07-04,1684.98,2856.33
SKU0198,Lighting,Floor Lamps,2025-01-22,578.6,1097.42
SKU0199,Decor,Lighting,2024-03-19,1667.03,3009.47
SKU0200,Decor,Mirrors,2024-02-20,475.44,673.86
